stateabrev,cycle,districts,eg
IN,2016,9,-0.116
KS,2016,4,-0.218
KY,2016,6,-0.017
LA,2016,6,0.025
MA,2016,9,0.135
MD,2016,8,0.101
ME,2016,2,-0.012
MI,2016,14,-0.115
MN,2016,8,0.041
MO,2016,8,-0.069
MS,2016,4,-0.041
MT,2016,1,-0.338
NC,2016,13,-0.241
ND,2016,1,-0.011
NE,2016,3,-0.205
NH,2016,2,0.469
NJ,2016,12,0.048
NM,2016,3,0.086
NV,2016,4,0.193
NY,2016,27,-0.025
OH,2016,16,-0.141
OK,2016,5,-0.079
OR,2016,5,0.171
PA,2016,18,-0.193
RI,2016,2,0.198
SC,2016,7,-0.178
SD,2016,1,-0.218
TN,2016,9,-0.027
TX,2016,36,-0.022
UT,2016,4,-0.168
VA,2016,11,-0.006
VT,2016,1,0.058
WA,2016,10,0.015
WI,2016,8,-0.107
WV,2016,3,-0.171
WY,2016,1,-0.152
AK,2018,1,-0.434
AL,2018,7,-0.118
AR,2018,4,-0.220
AZ,2018,9,0.071
CA,2018,53,0.034
CO,2018,7,-0.053
CT,2018,5,0.253
DE,2018,1,0.211
FL,2018,27,-0.031
GA,2018,14,-0.084
HI,2018,2,-0.034
IA,2018,4,0.220
ID,2018,2,-0.221
IL,2018,18,0.037
IN,2018,9,-0.116
KS,2018,4,-0.102
KY,2018,6,-0.114
LA,2018,6,-0.105
MA,2018,9,0.135
MD,2018,8,0.101
ME,2018,2,-0.112
MI,2018,14,-0.115
MN,2018,8,0.041
MO,2018,8,-0.069
MS,2018,4,-0.107
MT,2018,1,-0.452
NC,2018,13,-0.241
ND,2018,1,-0.178
NE,2018,3,-0.259
NH,2018,2,0.389
NJ,2018,12,0.048
NM,2018,3,0.292
NV,2018,4,0.136
NY,2018,27,-0.025
OH,2018,16,-0.141
OK,2018,5,-0.033
OR,2018,5,0.096
PA,2018,18,-0.034
RI,2018,2,0.197
SC,2018,7,-0.178
SD,2018,1,-0.248
TN,2018,9,-0.027
TX,2018,36,-0.022
UT,2018,4,0.017
VA,2018,11,-0.006
VT,2018,1,0.045
WA,2018,10,0.015
WI,2018,8,-0.107
WV,2018,3,-0.321
WY,2018,1,-0.138
AK,2020,1,-0.408
AL,2020,7,-0.118
AR,2020,4,-0.176
AZ,2020,9,0.071
CA,2020,53,0.034
CO,2020,7,-0.053
CT,2020,5,0.283
DE,2020,1,0.322
FL,2020,27,-0.031
GA,2020,14,-0.084
HI,2020,2,0.109
IA,2020,4,-0.174
ID,2020,2,-0.126
IL,2020,18,0.037
IN,2020,9,-0.116
KS,2020,4,-0.037
KY,2020,6,-0.025
LA,2020,6,-0.086
MA,2020,9,0.135
MD,2020,8,0.101
ME,2020,2,0.341
MI,2020,14,-0.115
MN,2020,8,0.041
MO,2020,8,-0.069
MS,2020,4,-0.064
MT,2020,1,-0.372
NC,2020,13,-0.088
ND,2020,1,-0.071
NE,2020,3,-0.216
NH,2020,2,0.422
NJ,2020,12,0.048
NM,2020,3,0.110
NV,2020,4,0.189
NY,2020,27,-0.025
OH,2020,16,-0.141
OK,2020,5,-0.126
OR,2020,5,0.162
PA,2020,18,-0.034
RI,2020,2,0.261
SC,2020,7,-0.178
SD,2020,1,-0.170
TN,2020,9,-0.027
TX,2020,36,-0.022
UT,2020,4,-0.234
VA,2020,11,-0.006
VT,2020,1,0.073
WA,2020,10,0.015
WI,2020,8,-0.107
WV,2020,3,-0.149
WY,2020,1,-0.028
AK,2022,1,0.401
AL,2022,7,-0.006
AR,2022,4,-0.125
AZ,2022,9,-0.107
CA,2022,52,0.086
CO,2022,8,-0.063
CT,2022,5,0.344
DE,2022,1,0.373
FL,2022,28,-0.064
GA,2022,14,-0.097
HI,2022,2,0.127
IA,2022,4,-0.374
ID,2022,2,-0.128
IL,2022,17,0.209
IN,2022,9,-0.068
KS,2022,4,-0.059
KY,2022,6,0.000
LA,2022,6,-0.039
MA,2022,9,0.168
MD,2022,8,0.077
ME,2022,2,0.334
MI,2022,13,-0.005
MN,2022,8,-0.015
MO,2022,8,-0.041
MS,2022,4,0.043
MT,2022,2,-0.286
NC,2022,14,0.043
ND,2022,1,-0.062
NE,2022,3,-0.225
NH,2022,2,0.401
NJ,2022,12,0.165
NM,2022,3,0.399
NV,2022,4,0.231
NY,2022,26,-0.032
OH,2022,15,-0.036
OK,2022,5,-0.139
OR,2022,6,0.061
PA,2022,17,-0.002
RI,2022,2,0.353
SC,2022,7,-0.149
SD,2022,1,-0.108
TN,2022,9,-0.077
TX,2022,38,-0.012
UT,2022,4,-0.175
VA,2022,11,0.008
VT,2022,1,0.115
WA,2022,10,0.135
WI,2022,8,-0.224
WV,2022,2,-0.148
WY,2022,1,-0.027
AK,2024,1,-0.476
AL,2024,7,0.098
AR,2024,4,-0.139
AZ,2024,9,-0.107
CA,2024,52,0.086
CO,2024,8,-0.063
CT,2024,5,0.314
DE,2024,1,0.343
FL,2024,28,-0.064
GA,2024,14,-0.091
HI,2024,2,0.095
IA,2024,4,-0.370
ID,2024,2,-0.093
IL,2024,17,0.209
IN,2024,9,-0.068
KS,2024,4,-0.027
KY,2024,6,0.000
LA,2024,6,0.037
MA,2024,9,0.176
MD,2024,8,0.077
ME,2024,2,0.380
MI,2024,13,-0.005
MN,2024,8,-0.015
MO,2024,8,-0.041
MS,2024,4,-0.011
MT,2024,2,-0.308
NC,2024,14,-0.174
ND,2024,1,-0.110
NE,2024,3,-0.228
NH,2024,2,0.430
NJ,2024,12,0.165
NM,2024,3,0.399
NV,2024,4,0.233
NY,2024,26,0.083
OH,2024,15,-0.036
OK,2024,5,-0.118
OR,2024,6,0.219
PA,2024,17,-0.002
RI,2024,2,0.262
SC,2024,7,-0.149
SD,2024,1,-0.059
TN,2024,9,-0.077
TX,2024,38,-0.012
UT,2024,4,-0.182
VA,2024,11,0.008
VT,2024,1,0.147
WA,2024,10,0.135
WI,2024,8,-0.224
WV,2024,2,-0.076
WY,2024,1,0.005
